,lat,lon,capacity
393,44.5,-72.16,98.92679800295784
460,43.54,-72.16,100.54169228689071
402,44.38,-72.22,99.13018792209014
647,41.5,-73.0,103.87907260165564
350,45.04,-70.66,98.00618626353076
576,42.22,-73.06,102.71599466407012
375,44.86,-71.32,98.31402817350568
472,43.48,-72.04,100.6416906839765
320,45.58,-69.88,97.07686904049628
548,42.58,-73.18,102.12836159333634
415,44.2,-72.28,99.43445720899078
276,46.42,-69.82,95.61415569012674
386,44.74,-70.3,98.5187172336439
408,44.38,-71.08,99.13018792209014
279,46.42,-68.08,95.61415569012674
265,46.6,-69.04,95.29803262163256
388,44.8,-71.44,98.41642666646042
271,46.54,-69.52,95.40351163805369
444,43.9,-73.0,99.93939036681375
391,44.74,-70.54,98.5187172336439
593,42.22,-73.12,102.71599466407012
442,43.96,-72.34,9.120121218002808
